weights,total_change,ret_std,change_per_ret_std,d2,d3,d4,same_sign_days
"PEBBLES_L:0.071, PEBBLES_M:0.786, PEBBLES_S:-0.286, PEBBLES_XL:0.429, PEBBLES_XS:-1.000",7644.770149999997,25.036293689490513,305.3475184791047,2999.42555,2254.5769999999993,2390.7675999999974,True
"PEBBLES_L:0.154, PEBBLES_M:0.538, PEBBLES_S:-0.231, PEBBLES_XL:0.538, PEBBLES_XS:-1.000",7967.979150000005,26.42831460743669,301.4940327582557,3609.2399000000005,1643.9059500000021,2714.833300000002,True
"PEBBLES_L:-0.000, PEBBLES_M:1.000, PEBBLES_S:-0.500, PEBBLES_XL:0.500, PEBBLES_XS:-1.000",8713.0,28.91060394755371,301.37730833316806,3223.25,2554.75,2935.0,True
"PEBBLES_L:0.154, PEBBLES_M:0.923, PEBBLES_S:-0.615, PEBBLES_XL:0.538, PEBBLES_XS:-1.000",8984.669249999999,29.845850881476444,301.0357883807646,3553.280600000002,2496.179549999999,2935.209099999998,True
"PEBBLES_L:-0.118, PEBBLES_M:0.765, PEBBLES_S:-0.118, PEBBLES_XL:0.471, PEBBLES_XS:-1.000",7727.934250000002,25.671469090044344,301.03202208232693,3013.779050000001,1947.738800000001,2766.4164,True
"PEBBLES_L:0.176, PEBBLES_M:0.471, PEBBLES_S:-0.118, PEBBLES_XL:0.471, PEBBLES_XS:-1.000",7263.109200000006,24.163777364433646,300.57838600559546,3333.9069000000018,1611.1413500000017,2318.060950000003,True
"PEBBLES_L:0.333, PEBBLES_M:0.667, PEBBLES_S:-0.333, PEBBLES_XL:0.333, PEBBLES_XS:-1.000",6837.616349999998,22.81286580911985,299.7263214193168,2833.4798999999985,2402.5840000000007,1601.5524499999992,True
"PEBBLES_L:-0.091, PEBBLES_M:0.818, PEBBLES_S:-0.091, PEBBLES_XL:0.364, PEBBLES_XS:-1.000",7032.3089999999975,23.541349213188255,298.7215786281434,2548.205399999999,2242.100049999999,2242.0035499999994,True
"PEBBLES_L:0.111, PEBBLES_M:0.667, PEBBLES_S:-0.444, PEBBLES_XL:0.667, PEBBLES_XS:-1.000",9298.428349999998,31.154932598432552,298.45766222160967,4128.995599999998,1705.8873000000021,3463.545449999998,True
"PEBBLES_L:-0.000, PEBBLES_M:0.667, PEBBLES_S:-0.000, PEBBLES_XL:0.333, PEBBLES_XS:-1.000",6483.318449999997,21.748358192248524,298.1061095596062,2519.178,2045.4530499999983,1918.687399999999,True
